L2_ID,FORM,SECTION,DATA ELEMENT,FORM DATA TYPE,FINAL CODESYSTEM,FINAL CODESYSTEM CODE,FINAL CODESYSTEM DESCRIPTION
189,Dot-vote Priorities,Transport Station,Cause of Road Crash Incident,CodableConcept,SNOMED CT,278443006,Cause of accident type (qualifier value)
190,Dot-vote Priorities,Facility Station,Report form received,Boolean,FHIR Element,Task.status,N/A
191,Dot-vote Priorities,Facility Station,Report form received: digital or physical form,CodableConcept,FHIR Element,DocumentReference.content.format,N/A
192,Dot-vote Priorities,Facility Station,Cost of care,Money,FHIR Element,Claim.total,N/A
193,Dot-vote Priorities,Facility Station,Profession of Victim,String,SNOMED CT,364703007,Employment detail (observable entity)
194,Dot-vote Priorities,Facility Station,Duration of delay,Time,FHIR Element,Task.executionPeriod,N/A
195,Dot-vote Priorities,Facility Station,Sources of delays,String,SNOMED CT,373786007,Reasons for treatment delay (finding)
196,Dot-vote Priorities,Post-incident Investigation,Party at fault,String,FHIR Element,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1 (so system can anticipate if preview is possible. Ex. if non-PDF, but no rendering library, this will just be a link direct to the file)",N/A
197,Dot-vote Priorities,Post-incident Investigation,Long term outcome of patient,CodableConcept,SNOMED CT,218247007,Late effect of motor vehicle accident (disorder)
198,Dot-vote Priorities,Post-incident Investigation,Psychosocial support/condition,Boolean,SNOMED CT,408919008,Psychosocial care (regime/therapy)
199,Dot-vote Priorities,Post-incident Investigation,Documentation of traffic incident management,String,FHIR Element,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1 (so system can anticipate if preview is possible. Ex. if non-PDF, but no rendering library, this will just be a link direct to the file)",N/A
200,Dot-vote Priorities,Post-incident Investigation,Detailed road network shape files,URL,FHIR Element,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1",N/A
201,Dot-vote Priorities,Post-incident Investigation,Vehicle condition,CodableConcept,FHIR Element,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1",N/A
202,Dot-vote Priorities,Post-incident Investigation,"CCTV video, reconstruction of what happened",Boolean,SNOMED CT,360000005,Closed circuit television (physical object)
203,Workshop Discussion,,Blood Alcohol Concentration,Integer/Decimal,SNOMED CT,167009006,Blood ethanol measurement (procedure)
204,Workshop Discussion,,PhilSys ID No.,String,FHIR Element,Patient.identifier,N/A
