WORKSHOP ID 🔒,Data Element🔒 ,Source 🔒 ,Form type 🔒 ,Requirement Level🔒 ,[FINAL] FHIR Resource,[FINAL] FHIR Element,Note,Flags 🔒,[FINAL] Cardinality,[FINAL] FHIR Data Type,L2 Context / Remarks 🔒,Definition,Mapping Comments / Notes
81,Cyanosis,Run Report Form,CodableConcept,Must Support,Observation,Observation.valueCodeableConcept,,MUST SUPPORT,0..1,CodeableConcept,,"Presence of cyanosis. (Run Report Form: Negative, General, Peripheral)",
82,Add Vital Signs?,Run Report Form,Boolean,Must Support,Questionnaire,"Questionnaire.item[repeats:""true""]","Consider the whole vital signs group as a repeatable question on implementation than literal DAK

This is a field from the interpretation from the run report form's repeated group of vital signs documented",MUST SUPPORT,0..1,boolean,,Additional time stamped vitals signs; Model the previous vital signs data as repeatable group. (Model vitals as a repeatable group.),
83,Eyes,Run Report Form,CodableConcept,Must Support,Observation,"Observation.component.code = GCS.eyes
Observation.component.valueCodeableConcept = choices",,MUST SUPPORT,0..1,CodeableConcept,,GCS Eye subscore. (Run Report Form: 4 Spontaneous; 3 To Command; 2 To pain; 1 None.),
84,Verbal,Run Report Form,CodableConcept,Must Support,Observation,"Observation.component.code = GCS.verbal
Observation.component.valueCodeableConcept = choices",,MUST SUPPORT,0..1,CodeableConcept,,GCS Verbal subscore. (Run Report Form: 5 Oriented; 4 Confused; 3 Inappropriate words; 2 Incomprehensible sound; 1 None; recommend to use pediatric alternatives per local policy.),
85,Motor,Run Report Form,CodableConcept,Must Support,Observation,"Observation.component.code = GCS.motor
Observation.component.valueCodeableConcept = choices",,MUST SUPPORT,0..1,CodeableConcept,,GCS Motor subscore. (Run Report Form: 6 To command; 5 Localizes pain; 4 Withdraws from pain; 3 Abnormal flexion; 2 Abnormal extension; 1 None),
86,Score,Run Report Form,Integer,Must Support,Observation,"Observation.code = GCS Score (Total)
Observation.valueInteger (instead of value because no Units)",,MUST SUPPORT,0..1,integer,"Relevant Data element needed for Reporting. Must support mean systems support this field is needed to be reported by the attending provider, in particular EMS, but not so much as a system requirement",GCS total score (derived from Eyes+Verbal+Motor).,
87,Front,Run Report Form,Image,Must Support,Observation,"Observation.bodySite = codeableconcept from anatomy ValueSet
Observation.code = what was seen there (ex. stab wound) codeableconcept from Diagnosis/Assessment ValueSet","backlog, not in connectathon",MUST SUPPORT,0..1,CodeableConcept,,"Injury mapping on anterior body diagram (if used). (Type: image/diagram or coded body sites;)

to clarify with stakeholders, image / coded concept",
88,Back,Run Report Form,Image,Must Support,Observation,"Observation.bodySite = codeableconcept from anatomy ValueSet
Observation.code = what was seen there (ex. stab wound) codeableconcept from Diagnosis/Assessment ValueSet","backlog, not in connectathon",MUST SUPPORT,0..1,CodeableConcept,,Injury mapping on posterior body diagram (if used). (Type: image/diagram or coded body sites.),
89,Problem,Run Report Form,String,Must Support,Condition,Condition.code,,MUST SUPPORT,0..*,CodeableConcept,,Chief Complaint as represented by a code. DOH Hospital Health Information Management Manual,
90,Intervention,Run Report Form,String,Must Support,Procedure,Procedure.code,,MUST SUPPORT,0..*,CodeableConcept,,"The treatment received by the patient Ref: DOH Hospital Health Information Management Manual
",
91,Remarks,Run Report Form,String,Optional,Observation,"Observation.note(Annotation.text)
Observation.reference to Encounter",,,0..*,Annotation.text,,Free-text notes relevant to transport and handover.,
92,Team Leader,Run Report Form,String,Optional,Encounter,"Encounter.participant.type.CodeableConcept = Team Leader
Encounter.participant.individual = Reference(Practitioner.name)

If New Participant
Create Practitioner.name = 'Person Name'; then reference in encounter",,,0..*,CodeableConcept,,Crew lead identifier and role.,
93,Treatment Officer,Run Report Form,String,Optional,Encounter,"Encounter.participant.type.CodeableConcept = Treatment Officer
Encounter.participant.individual = Reference(Practitioner.name)

If New Participant
Create Practitioner.name = 'Person Name'; then reference in encounter",,,0..*,CodeableConcept,,Crew member responsible for clinical care.,
94,Transport Officer,Run Report Form,String,Optional,Encounter,"Encounter.participant.type.CodeableConcept = Transport Officer
Encounter.participant.individual = Reference(Practitioner.name)

If New Participant
Create Practitioner.name = 'Person Name'; then reference in encounter",,,0..*,CodeableConcept,,Driver/transport lead.,
95,Assistant,Run Report Form,String,Optional,Encounter,"Encounter.participant.type.CodeableConcept = Assistant
Encounter.participant.individual = Reference(Practitioner.name)

If New Participant
Create Practitioner.name = 'Person Name'; then reference in encounter",,,0..*,CodeableConcept,,Assistant crew member.,
96,Add Assistant?,Run Report Form,Boolean,Optional,Questionnaire,"Questionnaire.group
Questionnaire.item[repeats:""true""]",,,0..*,boolean,,String to add more assistants or coded based on ID or Crew reference,
97,Refusal to Admit?,Run Report Form,Boolean,Optional,ServiceRequest,"ServiceRequest.status: ""revoked""
ServiceRequest.referenceEncounter↓",,,0..1,code,,"Whether the receiving facility declined admission. (If yes, complete 98–101.)",
98,Refusal to Admit - Hospital,Run Report Form,String,Optional,ServiceRequest,ServiceRequest.supportinginfo(Organization),,,0..1,Reference (Organization),,Facility that refused admission. Record facility name and official identifier.,
99,Refusal to Admit - Physician,Run Report Form,String,Optional,ServiceRequest,ServiceRequest.supportinginfo(Ref Practitioner),,,0..1,Reference (Practitioner),,"Practitioner who communicated refusal. Record name and identifier, if available.",
100,Refusal to Admit - Date,Run Report Form,Date,Optional,ServiceRequest,ServiceRequest.occurrenceDateTime,,,0..1,dateTime,,Date of refusal decision.,
101,Refusal to Admit - Time,Run Report Form,Time,Optional,ServiceRequest,ServiceRequest.occurrenceDateTime ↑ merge with above,,,0..1,dateTime,,Time of refusal decision.,
102,Add Refusal?,Run Report Form,Boolean,Optional,Questionnaire,"Questionnaire.item[repeats:""true""]",,,0..1,code,,Additional group of refusal entries; repeatable from group of refusal elements,
103,Received By,Run Report Form,String,Must Support,Encounter,"Encounter.participant.type.CodeableConcept = ""Receiver""
Encounter.participant.individual = Reference(Practitioner.name)

If New Participant
Create Practitioner.name = 'Person Name'; then reference in encounter",,MUST SUPPORT,0..1,Reference (Practitioner),,"Receiving staff who took the handover. Record name, role, and identifier.",
104,Medical Facility,Run Report Form,String,Must Support,Encounter,Encounter.serviceProvider,,MUST SUPPORT,0..1,Reference (Organization),,"Health Facility Code: DOH‑issued unique health facility code as generated from the National Health Facility Registry (NHFR).
",
105,Time,Run Report Form,Time,Removed,,,,,,,Ambiguous field - for deletion; remove or redefine with a clear event anchor to avoid duplication with other timestamps. Similar Time already captured by earlier data elements with granularity.,,
106,Supplies Used,Run Report Form,String,Optional,Procedure,Procedure.usedCode,"Ideally usedReference                0..*        Reference(Device | Medication | Substance)
however difficulty to accommodate data model for all references for the Connecathon

suggest to elevate to .usedReference in the future",,0..*,Reference,,Consumables used during transport. (Run Report Form: free text; Ideally coded or free text),
107,Vehicle Used,Run Report Form,String,Optional,Encounter,Encounter.extension,"Non-medical concept, hence capture as string
0..* because patient could be transferred or multiple vehiles used for the transport of 1 patient

CodeableConcept.text to capture different types of vehicles
in the future, if EMS management could accomodate in the UI, Device resource management should be integrated to 
continue counting the ""stock"" of vehicles of EMS if preferred. Or should they resort to their own data model.",,0..*,CodeableConcept,,Identifier and type of transport vehicle. (Run Report Form: free text; Ideally coded or free text),
108,Condition of Patients,Dot-vote Priorities,CodableConcept,Must Support,Observation,"Observation.code
Observation.valueCodeableConcept","Misnomer for ""Condition""
This is an assertation based on the assessor, whether Physician/Not
Therefore Observation is the best resource that captures the meaning of the element",MUST SUPPORT,0..1,CodeableConcept,"Needs delineation from Disposition, Outcome, Long term outcome","Overall condition of Patients (Alive or Dead) - ""JAO 2021-002 Total number of cases declared 'dead on arrival'""",
109,Extent of injury,Dot-vote Priorities,CodableConcept,Optional,Observation,"Observation.code
Observation.valueCodeableConcept",,,0..*,CodeableConcept.text,,Severity estimate/category (Derived from scene station; Consider free text),"[FOR VALIDATION In the workshop]

DCAP-BTLS - https://www.ems1.com/ems-education/articles/what-does-dcap-btls-stand-for-OgVASNQuePqvjEUz/

Deformity
Contusion
Abrasion
Puncture
Burns
Tenderness
Laceration
Swelling
AVulsion"
110,Hospital Available,Dot-vote Priorities,Boolean,Optional,Location,"ServiceProvider Loc Profile = Location.name
HealthcareService.category[""EMS Referral Center""]
HealthcareService.location[reference ServiceProvider Loc]","ValueSet: https://hl7.org/fhir/R4/valueset-location-status.html
Yes = active, No = suspended

Location.status = active and if active, do a https:// call to just filter which is active
Consider adding in the future IG, .position path, since this will help algorithms calculate the closest Hospital or healthcare system to the EMS

To test HealthcareService resource to consider for later advanced business logic in determining available hospitals

Therefore recommend to put this on backlog, until further testing by the interop team so that we have better experience before recommending this resource.",,0..1,code,,List of available receiving hospital/s.,
111,Priority to Scene (Triage),Dot-vote Priorities,CodableConcept,Optional,Observation,Observation.code,Observation because this can be an assessment by non-Physicians as well. Some EMS serices ma/may not have a physician on-board but may give a coded impression,,0..1,CodeableConcept,,"Triage category assigned at scene by a person (e.g., Red/Immediate, Yellow/Delayed, Green/Minimal, Black/Expectant)",
112,Incident No.,Dot-vote Priorities,String,Mandatory,Encounter,Encounter.identifier(Identifier.value),,,1..1,Identifier.value,,"Setting and condition in which the encounter takes place. It collectively constitutes health care provider code, PhilHealth identification number of the patient, date and time of encounter, as represented by a code.

PhilHealth Circular 2020-0002: Governing Policies of the Konsultasyong Sulit at Tama (PhilHealth Konsulta) Package: Expansion of the Primary Care Benefit to Cover All Filipinos",
113,Was Transpo Coordinated with Receiving Hospital?,Dot-vote Priorities,Boolean,Must Support,Procedure,"Procedure.code = ""Coordination done"" to coordinate with Term Team
Procedure.status = in-progress | not-done | completed | unknown
Procedure.subject[Reference(Patient)]","Dot vote concept
Easy to capture in the field if Yes or No
however is this an assertation on the patient? or the encounter?",MUST SUPPORT,0..1,CodeableConcept.coding,,"Yes or No, whether pre‑arrival coordination with the receiving facility occurred.",
114,Priority Level (Urgency),Dot-vote Priorities,CodableConcept,Optional,Observation,"Observation.code
Observation.valueCodeableConcept",Consider Text since CAD system by EMS is proprietary,,0..1,CodeableConcept.text,,System‑generated urgency level per CAD/agency rules. Consider documenting system generated metadata.,
115,Cause of Road Crash Incident,Dot-vote Priorities,CodableConcept,Must Support,DocumentReference,"DocumentReference.context.encounter 0..1
DocumentReference.type 0..1
DocumentReference.content.attachment = Attachment.url 1..1
DocumentReference.content.format 0..1 (so system can anticipate if preview is possible. Ex. if non-PDF, but no rendering library, this will just be a link direct to the file)","Post Crash Rerport kind of element, 

Cause of crash not fully be captured in one FHIR resource

Therefore this is best documented as PDF/Web link as a report

We would suggest URL so that FHIR server does not need to manage Media/Website/Magic Link",MUST SUPPORT,0..1,Attachment.url,,Primary contributing factor as assessed by EMS. (Derived from transport station; Consider free text),
116,Status upon reaching Facility/Hospital,ONEISS,CodableConcept,Optional,Observation,"Observation.code
Observation.valueCodeableConcept",,,0..1,CodeableConcept,,Check the appropriate box to indicate the status of the patient upon reaching Hospital/facility.,
117,"Status upon reaching Facility/Hospital - If alive,please check if",ONEISS,CodableConcept,Optional,Observation,"Observation.code
Observation.valueCodeableConcept",,,0..1,CodeableConcept,,"If “Alive” , check whether the injured was conscious or unconscious.",
118,Mode of transport to the Hospital/Facility,ONEISS,CodableConcept,Must Support,Observation,"Observation.code = 74286-6
Observation.valueCodeableConcept [Ambulance, Police Vehicle, text]
Observation.valueCodeableConcept.text = others",https://loinc.org/74286-6,MUST SUPPORT,0..1,CodeableConcept,"Relevant Data element needed for Reporting. Must support mean systems support this field is needed to be reported by the attending provider, in particular EMS, but not so much as a system requirement. Could be used as a data anchor in reporting even if not in ""Monthly Surveillance Report""",Check the appropriate box for the mode of transport of the injured to the hospital or facility.,
119,"Mode of transport to the Hospital/Facility - Others, specify",ONEISS,String,Must Support,Observation,↑ as above,https://loinc.org/74286-6 same as above as others,MUST SUPPORT,0..1,string,"In bundle with 118 if ""Others"" was selected. Could be used as a data anchor in reporting even if not in ""Monthly Surveillance Report""",Free text when “others” is selected.,
120,Patient Name - Last,Run Report Form,String,Must Support,Patient,Patient.name.family,,MUST SUPPORT,0..1,string,Systems should have this if available for future deduplication when present,Legal last name of patient,
121,Patient Name - First,Run Report Form,String,Must Support,Patient,Patient.name.given[0],,MUST SUPPORT,0..1,string,Systems should have this if available for future deduplication when present,Legal first name of patient,
122,Patient Name - Middle,Run Report Form,String,Must Support,Patient,Patient.name.given[1],,MUST SUPPORT,0..1,string,Systems should have this if available for future deduplication when present,Legal middle name of patient,
123,Age,Run Report Form,Integer/Decimal,Must Support,Patient,Derived from Patient.birthDate,,MUST SUPPORT,0..1,date,,,
124,Sex,Run Report Form,CodableConcept,Must Support,Patient,Patient.extension:sex - as per NHDR,"EMRs already only use Sex Male/Female = Gender

SOGIE Bill
Sex = male, female, or intersex - Biological and physical characteristics at birth

Gender = Social, cultural, and personal identity factors, which may or may not align with a person's biological sex.


---

FHIR Misnomer - ""Gender"" actually points to ""Sex"" on our SOGIE Bill. But this not constitute to discrimination, but for Administrative documentation. - Cite the exact path

---

Note: NHDR extended this for literal policy compliance

Recommend: To use FHIR Gender and Administrative Gender ValueSet to maintain standards. Recommend display.text on EMRs to use Sex as per policy

---------

Final decision - Patient.extension:sex - as per NHDR
than Patient.gender

DO NOTE, NHDR Extension sex Search Query has not been properly documented. Extensions Ideally should be well document if opted for
FHIR also prompts Gender Identity should be an obseration resource",MUST SUPPORT,0..1,code,,Property or quality in which a patient is classified as female or male on the basis of their reproductive organs and functions,
125,Address - House No. and Street,Run Report Form,String,Optional,Patient,"Patient.address.use = ""home""
Patient.address.line[0]","Unique not in Oneiss

Anchor to PH-Core",,0..*,string,To capture data granularity; To follow up patients on discharge,"Lot/Block/Phase/House # indicated in the mailing/current address.
Street name indicated in the mailing/current address.",
126,Address - Barangay,Run Report Form,CodableConcept,Must Support,Patient,"Patient.address.use = ""home""
Patient.address.extension[barangay]","Unique not in Oneiss

see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",MUST SUPPORT,0..1,Identifier,,"Barangay indicated in the mailing/current address, as represented by a code.",
127,Address - City/Municipality,Run Report Form,CodableConcept,Must Support,Duplicate of ONEISS. Separate in profiles but sync on Patient submission,"Patient.address.use = ""home""
Patient.address.extension[cityMunicipality]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",MUST SUPPORT,0..1,Identifier,,"Municipality/city indicated in the mailing/current address, as represented by a code.",
128,Address - Province,Run Report Form,CodableConcept,Must Support,Duplicate of ONEISS. Separate in profiles but sync on Patient submission,"Patient.address.use = ""home""
Patient.address.extension[province]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",MUST SUPPORT,0..1,Identifier,,"Province indicated in the mailing/current address, as represented by a code.",
129,Address - Region,Run Report Form,CodableConcept,Must Support,Duplicate of ONEISS. Separate in profiles but sync on Patient submission,"Patient.address.use = ""home""
Patient.address.extension[region]""","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",MUST SUPPORT,0..1,Identifier,,"Region indicated in the mailing/current address, as represented by a code.",
130,Tel. No.,Run Report Form,String,Optional,Patient,Patient.telecom[where(system='phone')].value,,,0..1,string,,Landline telephone number at which the employer can be contacted,
131,PhilSys ID No.,Workshop Discussion,String,Must Support,Patient,Patient.identifier,,MUST SUPPORT,0..1,Identifier,"Team & Workshop - Must support when as soon as accessible as supported by policies;
To consider in the future as candidate for mandatory once all systems are equipped","A randomly generated, unique, and permanent identification number that will be assigned to every citizen or resident alien upon birth or registration by the PSA.",
132,Registry No.,ONEISS,String,Must Support,Patient,Patient.identifier,"Give the name of registry as ""ONEISS Registry""",MUST SUPPORT,0..1,Identifier,"Team - Must support as this cannot be captured early on, but needed for system ID",Registry No. Probably on ONEISS submission not necessarily associated with the hospital MRN,
133,Birth Date,ONEISS,Date,Must Support,Patient,"Patient.birthDate
Patient.birthDate: ""2025-07-01""","DUPLICATE OF AGE, THEREFORE MAP TO THE SAME ELEMENT",MUST SUPPORT,0..1,date,,Patient's date of birth,
134,If Date of Birth is not available,ONEISS,Integer,Removed,,Patient.extension[dobUnavailable],,,,boolean,Boolean - should be dealt with the Application Logic for removal,,
135,If Date of Birth is not available: Age - Years,ONEISS,Integer,Optional,Patient,"Patient.birthDate[current year - age mentioned]
ex. Patient.birthDate: ""2025""
xs:gYear",,,0..1,date,"Not needed by Oneiss as long as with birthdate, for removal - per encounter; L2 as optional, for optimization in L3",Computed age in years based on date of birth.,
136,If Date of Birth is not available: Age - Months,ONEISS,Integer,Optional,Patient,"Patient.birthDate[current y & mos - mos mentioned]
ex. Patient.birthDate: ""2025-07""
xs:gYearMonth,",,,0..1,date,"Not needed by Oneiss as long as with birthdate, for removal - per encounter; L2 as optional, for optimization in L3",Computed age in months based on date of birth,
137,If Date of Birth is not available: Age - Days,ONEISS,Integer,Optional,Patient,"Patient.birthDate[current day - days age mentioned]
ex. Patient.birthDate: ""2025-07-01""
xs:date",,,0..1,date,"Not needed by Oneiss as long as with birthdate, for removal - per encounter; L2 as optional, for optimization in L3",Computed age in days based on date of birth,
138,Permanent Address - Region,ONEISS,CodableConcept,Optional,Patient,"Patient.address.use = ""home""
Patient.address.extension[region]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",,0..1,Identifier,,,
139,Permanent Address - Province,ONEISS,CodableConcept,Optional,Patient,"Patient.address.use = ""home""
Patient.address.extension[province]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",,0..1,Identifier,,"Province where the patient was born, as represented by a code.",
140,Permanent Address - City,ONEISS,CodableConcept,Optional,Patient,"Patient.address.use = ""home""
Patient.address.extension[cityMunicipality]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",,0..1,Identifier,,"City/municipality where the patient was born, as represented by a code.",
141,"🏴Permanent Address - Barangay - not in form, but in dictionary",Not from Source,Not from Source,Removed,,Patient.address.district,,,,string,,"Barangay indicated in the permanent address, as represented by a code.",
142,"🏴 Permanent Address - House No. and Street  - not in form, but in dictionary",Not from Source,Not from Source,Removed,,Patient.address.line[0],,,,string,,,
143,Temporary Address - Region,ONEISS,CodableConcept,Optional,Patient,"Patient.address.use = ""temp""
Patient.address.extension[region]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",,0..1,string (via extension),,"Region indicated in the mailing/current address, as represented by a code.",
144,Temporary Address - Province,ONEISS,CodableConcept,Optional,Patient,"Patient.address.use = ""temp""
Patient.address.extension[province]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",,0..1,string,,"Province indicated in the mailing/current address, as represented by a code.",
145,Temporary Address - City,ONEISS,CodableConcept,Optional,Patient,"Patient.address.use = ""temp""
Patient.address.extension[cityMunicipality]","see wiki https://github.com/UP-Manila-SILab/ph-core/wiki/CodeSystem%60-and-%60Identifier%60
why Identifier instead of CodeSystem",,0..1,string,,"Municipality/city indicated in the mailing/current address, as represented by a code.",
146,"🏴 Temporary Address - Barangay - not in form, but in dictionary",Not from Source,Not from Source,Removed,,Patient.address.district,,,,string,"for removal 
not available in ONEISS API/Form but present in Data Dictionary","Barangay indicated in the mailing/current address, as represented by a code.",
147,"🏴 Temporary Address - House No. and Street - not in form, but in dictionary",Not from Source,Not from Source,Removed,,Patient.address.line[0],,,,string,"for removal 
not available in ONEISS API/Form but present in Data Dictionary",Street name indicated in the mailing/current address.,
148,PhilHealth #,ONEISS,String,Must Support,Patient,Patient.identifier.value,,MUST SUPPORT,0..1,Identifier,"Must support as per context of system support when present, but not so much as a system requirement","A unique and permanent number issued to any client upon enrolment/membership registration to the National Health Insurance Program of the Corporation for purposes of identification, eligibility verification, and utilization recording.",
149,Reported Complaint,Run Report Form,String,Must Support,Observation,"Observation.code = Reported complaint field to term team
Observation.valueString","May or May not exactly be medical, could point to car crash, not a healthcare concern.
Therefore this is string as per form and not always codable. Chief complaints and problems could be documented in the other field problems",MUST SUPPORT,0..*,string,"Must support as per context of system support when present, but not so much as a system requirement",Chief Complaint as represented by a code.,
150,Incident Location - House No. and Street,Run Report Form,String,Must Support,Location,"Encounter
   location[0] = reserved for the accident location
     ref Location.type = ""HL7 VS Accident Site""
   location[...] = for the other facilities/services
     ref Location.type = ""V3 Value SetServiceDeliveryLocationRoleType""

Location.name (0..1)
Location.address.[PHCoreAddress] (0..1)
Location.position.longitude (0..1)
Location.position.latitude (0..1)",,,0..1,"address
decimal (for the position)",Relevant to capture context of report granularity whether verbally captured during the call,"Write the location or place where the injury occurred specifically the Street, Barangay, Municipality/City, Province and Region.",
151,Incident Location - Barangay,Run Report Form,CodableConcept,Must Support,Location,Location.address.[PHCoreAddress] inherit decisions from above ↑,,,0..1,"address
decimal (for the position)",Relevant to capture context of report granularity whether verbally captured during the call,"Write the location or place where the injury occurred specifically the Street, Barangay, Municipality/City, Province and Region.",
152,Incident Location - City/Municipality,Run Report Form,CodableConcept,Must Support,Location,Location.address.[PHCoreAddress] inherit decisions from above ↑,,,0..1,"address
decimal (for the position)",Relevant to capture context of report granularity whether verbally captured during the call,"Write the location or place where the injury occurred specifically the Street, Barangay, Municipality/City, Province and Region.",
153,Incident Location - Province,Run Report Form,CodableConcept,Must Support,Location,Location.address.[PHCoreAddress] inherit decisions from above ↑,,,0..1,"address
decimal (for the position)",Relevant to capture context of report granularity whether verbally captured during the call,"Write the location or place where the injury occurred specifically the Street, Barangay, Municipality/City, Province and Region.",
154,Incident Location - Region,Run Report Form,CodableConcept,Must Support,Location,Location.address.[PHCoreAddress] inherit decisions from above ↑,,,0..1,"address
decimal (for the position)",Relevant to capture context of report granularity whether verbally captured during the call,"Write the location or place where the injury occurred specifically the Street, Barangay, Municipality/City, Province and Region.",
155,Call Source,Run Report Form,String,Optional,Observation,Observation.valueString,"Codeify as ""Call Source"" for the field of topic
To document decision to 0..*
May be coming from multiple calls in an accident pointing to one event

to consider constraining 0..1 at a later time if essential",,0..*,string,,,
156,How many vehicles involved,Dot-vote Priorities,Integer,Optional,Observation,Observation.valueInteger,,,0..1,integer,,"Check the appropriate box for the vehicle used by the victim/patient and the other vehicle involved, if any when the accident occurred.
Note: If the victim/patient was a pedestrian or was not riding any vehicle when the accident occurred check the box for “none”. If the
victim/patient was riding any other specified vehicle that does not fit in any of the above categories for vehicle check the box for “others”
and indicate the specific vehicle.",
157,How many patients involved,Dot-vote Priorities,Integer,Optional,Observation,Observation.valueInteger,,,0..1,integer,,"Check the appropriate box to indicate whether the victim/patient was alone or with others at the time of the accident. If “with others” is checked, specify the number of other victims involved",
158,Date of Injury,ONEISS,Date,Must Support,Observation,"Observation.code as ""Date and Time of Injury""
Observation.valueDateTime",,MUST SUPPORT,0..1,dateTime,,Date patient was seen at the health facility.,
159,Time of Injury,ONEISS,Time,Must Support,Observation,↑ as above,,MUST SUPPORT,0..1,dateTime,,Time patient was seen at the health facility.,
160,First Aid Given,ONEISS,Boolean,Optional,Procedure,"Make sure these are present:
.. subject        Σ        1..1        Reference(Patient | Group)        Who the procedure was performed on
... encounter        Σ        0..1        Reference(Encounter)        Encounter created as part of

Procedure.code = ""SCT First aid"" absence of procedure = No",,,0..1,CodeableConcept,Retain as optional since present in ONEISS and since Not Required therefore Optional,Check the appropriate box to indicate whether first aid was given to the injured at the site of the event.,
161,"If YES, what? (open ended)",ONEISS,String,Optional,Procedure,"Procedure.code = ""SCT First aid"" ↑
Procedure.note.text",,,0..1,string,Retain as optional since present in ONEISS and since Not Required therefore Optional,"If yes is checked, write the first aid given and by whom.",
162,"If YES, by whom?",ONEISS,String,Optional,Procedure,"Procedure.code = ""SCT First aid"" ↑
Procedure.note.text
Procedure.performer.actor",,,0..1,Reference(Practitioner/Patient/RelatedPerson),Retain as optional since present in ONEISS and since Not Required therefore Optional,"If yes is checked, write the first aid given and by whom.",
163,FOR TRANSPORT/VEHICULAR ACCIDENT ONLY (Collision; Non-Collision),ONEISS,CodableConcept,Optional,Observation,"Observation.code
Observation.valueCodeableConcept",,,0..1,CodeableConcept,,This section is only for cases of transport/vehicular accidents. Check the appropriate box to indicate whether the transport/vehicular accident is collision or non collision transport accident.,
164,Vehicles Involved: Patient's Vehicle,ONEISS,CodableConcept,Must Support,Observation,"Observation.code = ""Patient's Vehicle""
Observation.valueCodeableConcept - see choices",,MUST SUPPORT,0..1,CodeableConcept,,"This section is only for cases of transport/vehicular accidents. 
Check the appropriate box for the vehicle used by the victim/patient, if any when the accident occurred.
Note: If the victim/patient was a pedestrian or was not riding any vehicle when the accident occurred check the box for “none”. If the victim/patient was riding any other specified vehicle that does not fit in any of the above categories for vehicle check the box for “others” and indicate the specific vehicle.",
165,Vehicles Involved: Patient's Vehicle - Others,ONEISS,String,Optional,Observation,Observation.code[CodeableConcept.text],May constrain at a later time to 0..1 if needed. 0..* for now to allow flexibility in case,,0..*,CodeableConcept.text,,If the victim/patient was riding any other specified vehicle that does not fit in any of the above categories for vehicle check the box for “others” and indicate the specific vehicle.,
166,Other Vehicle/Object Involved (for COLLISION accident ONLY),ONEISS,CodableConcept,Must Support,Observation,"Observation.code = ""Other Vehicles""
Observation.valueCodeableConcept - see choices",,MUST SUPPORT,0..*,CodeableConcept,,"This section is only for cases of transport/vehicular accidents. 
Check the appropriate box for the vehicle used by the other vehicle involved, if any when the accident occurred.",
167,Other Vehicle/Object Involved (for COLLISION accident ONLY) - Others,ONEISS,String,Optional,Observation,Observation.code[CodeableConcept.text],,,0..*,CodeableConcept.text,,,
168,Position of Patient,ONEISS,CodableConcept,Must Support,Observation,"Observation.code = ""Position of Patient""
Observation.valueCodeableConcept - see choices",,,0..1,CodeableConcept,"In ONEISS hence retain - Indicator in ""Monthly Surveillance Report"" hence must support","This section is only for cases of transport/vehicular accidents. 
Check the appropriate box for the position of the victim/patient in the vehicle when the accident occurred.",
169,Position of Patient - Others,ONEISS,String,Must Support,Observation,Observation.valueCodeableConcept[CodeableConcept.text],,,0..1,CodeableConcept.text,"In ONEISS hence retain - Indicator in ""Monthly Surveillance Report"" hence must support",,
170,Place of Occurrence,ONEISS,CodableConcept,Optional,Observation,"Observation.code = ""Place of Occurence""
Observation.valueCodeableConcept - see choices",,,0..1,CodeableConcept,"In ONEISS hence retain, no other supporting references for must support","Check the appropriate box to indicate the place of occurrence of the external cause whether it occurred at home, school, road, videoke bar, workplace or other specified place.",
171,"Place of Occurrence - Workplace, specify (name of company/office/establishment)",ONEISS,String,Optional,Observation,"Observation.valueCodeableConcept - if workplace
Observation.note[Annotation.text]",,,0..1,string,"In ONEISS hence retain, no other supporting references for must support","If the place of occurrence checked is workplace, the name of the company / office / establishment must be specified.",
172,"Place of Occurrence - Others, specify (ex mall, restaurant)",ONEISS,String,Optional,Observation,Observation.valueCodeableConcept.text,,,0..1,string,"In ONEISS hence retain, no other supporting references for must support","If the external cause occurred in places other than those specified then check “others” and indicate the specific place of occurrence (e.g. Mall, restaurant )",
173,Activity of the Patient at the time of the incident,ONEISS,CodableConcept,Optional,Observation,"Observation.code = ""Activity of Patient at the time of Incident""
Observation.valueCodeableConcept - see choices",,,0..1,CodeableConcept,"In ONEISS hence retain, no other supporting references for must support",Check the appropriate box to indicate the activity of the victim/patient at the time of the incident.,
